model,phase,accuracy,precision,recall,f1,roc_auc,avg_precision
VGG16,no_finetune,0.9772727272727272,0.9772828775843418,0.9772727272727272,0.977271567362922,0.9970401934080514,0.9976038842101838
VGG16,finetuned,0.9848484848484848,0.9849006624820204,0.9848484848484848,0.9848494511995606,0.998972998143742,0.9990698106711152
ResNet50,no_finetune,0.9684343434343434,0.968502039388988,0.9684343434343434,0.9684295600190884,0.9936848954180408,0.9947399548243048
ResNet50,finetuned,0.9797979797979798,0.9799028285497864,0.9797979797979798,0.9797941125438,0.998730600190091,0.9988383482816467
DenseNet121,no_finetune,0.970959595959596,0.9710411611716996,0.970959595959596,0.9709616795909792,0.99559856347318,0.9964457815471864
DenseNet121,finetuned,0.9633838383838385,0.9638631998173222,0.9633838383838385,0.963363325128031,0.9962045583573074,0.996949658754212
EfficientNetB0,no_finetune,0.9646464646464646,0.9646464646464646,0.9646464646464646,0.9646464646464646,0.9933723296357012,0.9944640473690044
EfficientNetB0,finetuned,0.946969696969697,0.9502189686206832,0.946969696969697,0.9468312153796024,0.995158419820498,0.9959252205377676
MobileNetV2,no_finetune,0.9671717171717172,0.9672702788673728,0.9671717171717172,0.9671654328836748,0.9947374128483674,0.995822492000262
MobileNetV2,finetuned,0.970959595959596,0.9711915720826044,0.970959595959596,0.9709500044039362,0.9971294979172912,0.9976012096480106
CustomCNN,single_phase,0.5568181818181818,0.7670300982800983,0.5568181818181818,0.4547680397547536,0.9849840846606748,0.9868510427087727
