model,phase,sensitivity,specificity
VGG16,no_finetune,0.98014888337469,0.974293059125964
VGG16,finetuned,0.98014888337469,0.9897172236503856
ResNet50,no_finetune,0.9751861042183624,0.961439588688946
ResNet50,finetuned,0.9875930521091812,0.9717223650385604
DenseNet121,no_finetune,0.9652605459057072,0.9768637532133676
DenseNet121,finetuned,0.98014888337469,0.9460154241645244
EfficientNetB0,no_finetune,0.9652605459057072,0.9640102827763496
EfficientNetB0,finetuned,0.9900744416873448,0.9023136246786632
MobileNetV2,no_finetune,0.9751861042183624,0.9588688946015425
MobileNetV2,finetuned,0.9826302729528535,0.9588688946015425
